Company name,State,Use case wise,Language,Region,Date,Hour,Total_calls,Connected_calls,Connected rate,Total_duration_seconds,Total_duration_minutes,Total_duration_hours,Positive disposition,Negative disposition,Other disposition,Disposed calls,Success rate,Efficiency rate,Listen Count,Listen rate
hdfc,TAMIL NADU,BKT X,hindi,SOUTH,22-11-2025,10:00:00 AM,2,2,100.0,111.0,1.85,0.0308,1,0,1,2,50.0,100.0,1,50.0
hdfc,TAMIL NADU,BKT X,unknown,SOUTH,22-11-2025,10:00:00 AM,5,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
hdfc,TAMIL NADU,BKT X,unknown,SOUTH,01-12-2025,07:00:00 AM,4,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
hdfc,TAMIL NADU,BKT X,unknown,SOUTH,28-11-2025,09:00:00 AM,3,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
hdfc,TAMIL NADU,BKT X,unknown,SOUTH,22-11-2025,11:00:00 AM,5,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
hdfc,TAMIL NADU,BKT X,unknown,SOUTH,28-11-2025,08:00:00 AM,10,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
hdfc,TAMIL NADU,BKT X,unknown,SOUTH,21-11-2025,06:00:00 PM,3,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
hdfc,TAMIL NADU,BKT X,unknown,SOUTH,03-12-2025,08:00:00 AM,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
hdfc,TAMIL NADU,BKT X,hindi,SOUTH,22-11-2025,11:00:00 AM,6,6,100.0,292.0,4.8667,0.0811,1,1,4,6,33.33,100.0,1,33.333333
hdfc,TAMIL NADU,BKT X,unknown,SOUTH,24-11-2025,07:00:00 AM,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
hdfc,TAMIL NADU,BKT X,unknown,SOUTH,22-11-2025,09:00:00 AM,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
hdfc,TAMIL NADU,BKT X,hindi,SOUTH,22-11-2025,01:00:00 PM,9,9,100.0,812.0,13.5333,0.2256,9,0,0,9,100.0,100.0,9,100.0
hdfc,TAMIL NADU,BKT X,unknown,SOUTH,22-11-2025,03:00:00 AM,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
